validTimeUtc,irradianceGlobalHorizontal,irradianceDirectNormal,
Saturday October 8 2022 at 4:30:00 AM,0,0,
Saturday October 8 2022 at 4:45:00 AM,0,0,
Saturday October 8 2022 at 5:00:00 AM,0,0,
Saturday October 8 2022 at 5:15:00 AM,0,0,
Saturday October 8 2022 at 5:30:00 AM,0,0,
Saturday October 8 2022 at 5:45:00 AM,0,0,
Saturday October 8 2022 at 6:00:00 AM,0,0,
Saturday October 8 2022 at 6:15:00 AM,0,0,
Saturday October 8 2022 at 6:30:00 AM,0,0,
Saturday October 8 2022 at 6:45:00 AM,0,0,
Saturday October 8 2022 at 7:00:00 AM,0,0,
Saturday October 8 2022 at 7:15:00 AM,0.2,11.7,
Saturday October 8 2022 at 7:30:00 AM,11.8,81.7,
Saturday October 8 2022 at 7:45:00 AM,40,139.4,
Saturday October 8 2022 at 8:00:00 AM,71.4,190,
Saturday October 8 2022 at 8:15:00 AM,97.6,230.6,
Saturday October 8 2022 at 8:30:00 AM,131.4,282.8,
Saturday October 8 2022 at 8:45:00 AM,170.6,343.5,
Saturday October 8 2022 at 9:00:00 AM,217.2,416.7,
Saturday October 8 2022 at 9:15:00 AM,279.1,530.3,
Saturday October 8 2022 at 9:30:00 AM,331.2,601,
Saturday October 8 2022 at 9:45:00 AM,376.2,641.3,
Saturday October 8 2022 at 10:00:00 AM,418.4,644.6,
Saturday October 8 2022 at 10:15:00 AM,455.9,597.3,
Saturday October 8 2022 at 10:30:00 AM,494.7,599.6,
Saturday October 8 2022 at 10:45:00 AM,531.3,632.7,
Saturday October 8 2022 at 11:00:00 AM,565.8,673.5,
Saturday October 8 2022 at 11:15:00 AM,598.6,730.6,
Saturday October 8 2022 at 11:30:00 AM,628.1,771.1,
Saturday October 8 2022 at 11:45:00 AM,654.2,811.2,
Saturday October 8 2022 at 12:00:00 PM,676.5,851.5,
Saturday October 8 2022 at 12:15:00 PM,695.1,901.2,
Saturday October 8 2022 at 12:30:00 PM,707.5,938.9,
Saturday October 8 2022 at 12:45:00 PM,714.2,968.4,
Saturday October 8 2022 at 1:00:00 PM,716,975.9,
Saturday October 8 2022 at 1:15:00 PM,712.5,954.4,
Saturday October 8 2022 at 1:30:00 PM,705.5,945,
Saturday October 8 2022 at 1:45:00 PM,694.5,942.4,
Saturday October 8 2022 at 2:00:00 PM,679.7,941.4,
Saturday October 8 2022 at 2:15:00 PM,661.3,942.7,
Saturday October 8 2022 at 2:30:00 PM,639.5,939.4,
Saturday October 8 2022 at 2:45:00 PM,614.3,934.8,
Saturday October 8 2022 at 3:00:00 PM,585.7,928.9,
Saturday October 8 2022 at 3:15:00 PM,554,920.4,
Saturday October 8 2022 at 3:30:00 PM,519.5,909.7,
Saturday October 8 2022 at 3:45:00 PM,482.2,896,
Saturday October 8 2022 at 4:00:00 PM,442.5,879.9,
Saturday October 8 2022 at 4:15:00 PM,399.9,856.4,
Saturday October 8 2022 at 4:30:00 PM,355.7,831,
Saturday October 8 2022 at 4:45:00 PM,309.6,800.2,
Saturday October 8 2022 at 5:00:00 PM,262.6,768.2,
Saturday October 8 2022 at 5:15:00 PM,212.7,732.6,
Saturday October 8 2022 at 5:30:00 PM,163.5,668.6,
Saturday October 8 2022 at 5:45:00 PM,114.9,575.6,
Saturday October 8 2022 at 6:00:00 PM,68.9,450.9,
Saturday October 8 2022 at 6:15:00 PM,24.9,283.4,
Saturday October 8 2022 at 6:30:00 PM,0.5,38.7,
Saturday October 8 2022 at 6:45:00 PM,0,0,
Saturday October 8 2022 at 7:00:00 PM,0,0,
Saturday October 8 2022 at 7:15:00 PM,0,0,
Saturday October 8 2022 at 7:30:00 PM,0,0,
Saturday October 8 2022 at 7:45:00 PM,0,0,
Saturday October 8 2022 at 8:00:00 PM,0,0,
Saturday October 8 2022 at 8:15:00 PM,0,0,
Saturday October 8 2022 at 8:30:00 PM,0,0,
Saturday October 8 2022 at 8:45:00 PM,0,0,
Saturday October 8 2022 at 9:00:00 PM,0,0,
Saturday October 8 2022 at 9:15:00 PM,0,0,
Saturday October 8 2022 at 9:30:00 PM,0,0,
Saturday October 8 2022 at 9:45:00 PM,0,0,
Saturday October 8 2022 at 10:00:00 PM,0,0,
Saturday October 8 2022 at 10:15:00 PM,0,0,
Saturday October 8 2022 at 10:30:00 PM,0,0,
Saturday October 8 2022 at 10:45:00 PM,0,0,
Saturday October 8 2022 at 11:00:00 PM,0,0,
Saturday October 8 2022 at 11:15:00 PM,0,0,
Saturday October 8 2022 at 11:30:00 PM,0,0,
Saturday October 8 2022 at 11:45:00 PM,0,0,
Sunday October 9 2022 at 12:00:00 AM,0,0,
Sunday October 9 2022 at 12:15:00 AM,0,0,
